PROV1;Sitka;Sitka;Sitka;Oceania;Sitka;oceania;óceánia;Oceánie;;;;;;x;;;;
PROV2;Yakutat;Yakutat;Yakutat;;Yakutat;;;;;;;;;x;;;;
PROV3;Kenai;Kenai;Kenai;;Kenai;;;;;;;;;x;;;;
PROV4;Dutch Harbor;Dutch Harbor;Dutch Harbor;;Dutch Harbor;;;;;;;;;x;;;;
PROV5;Bethel;Bethel;Bethel;;Bethel;;;;;;;;;x;;;;
PROV6;Whitehorse;Whitehorse;Whitehorse;;Whitehorse;;;;;;;;;x;;;;
PROV7;Dawson;Dawson;Dawson;;Dawson;;;;;;;;;x;;;;
PROV8;Ross River;Ross River;Ross River;;Río Ross;;;;;;;;;x;;;;
PROV9;Fort Simpson;Fort Simpson;Fort Simpson;;Fuerte Simpson;;;;;;;;;x;;;;
PROV10;Inuvik;Inuvik;Inuvik;;Inuvik;;;;;;;;;x;;;;
PROV11;Echo Bay;Echo Bay;Echo Bay;;Echo Bay;;;;;;;;;x;;;;
PROV12;Reliance;Reliance;Reliance;;Reliance;;;;;;;;;x;;;;
PROV13;Vancouver;Vancouver;Vancouver;;Vancouver;;;;;;;;;x;;;;
PROV14;Vancouver Island;Île de Vancouvert;Vancouver Island;;Isla de Vancouver;;;;;;;;;x;;;;
PROV15;Prince Rupert;Prince Rupert;Prince Rupert;;Prince Rupert;;;;;;;;;x;;;;
PROV16;Glenora;Glenora;Glenora;;Glenora;;;;;;;;;x;;;;
PROV17;Atlin;Atlin;Atlin;;Atlin;;;;;;;;;x;;;;
PROV18;Fort Saint John;Fort Saint John;Fort Saint John;;Fuerte Saint John;;;;;;;;;x;;;;
PROV19;Prince George;Prince George;Prince George;;Prince George;;;;;;;;;x;;;;
PROV20;Kelowna;Kelowna;Kelowna;;Kelowna;;;;;;;;;x;;;;
PROV21;Vernon;Vernon;Vernon;;Vernon;;;;;;;;;x;;;;
PROV22;Edmonton;Edmonton;Edmonton;;Edmonton;;;;;;;;;x;;;;
PROV23;Athabaska Landing;Athabaska Landing;Athabaska Landing;;Athabaska Landing;;;;;;;;;x;;;;
PROV24;Jasper;Jasper;Jasper;;Jasper;;;;;;;;;x;;;;
PROV25;Banff;Banff;Banff;;Banff;;;;;;;;;x;;;;
PROV26;Calgary;Calgary;Calgary;;Calgary;;;;;;;;;x;;;;
PROV27;Denwood;Denwood;Denwood;;Denwood;;;;;;;;;x;;;;
PROV28;Fort MacLeod;Fort MacLeod;Fort MacLeod;;Fuerte MacLeod;;;;;;;;;x;;;;
PROV29;Medicine Hat;Medicine Hat;Medicine Hat;;Medicine Hat;;;;;;;;;x;;;;
PROV30;Regina;Regina;Regina;;Regina;;;;;;;;;x;;;;
PROV31;Stanley;Stanley;Stanley;;Stanley;;;;;;;;;x;;;;
PROV32;Prince Albert;Prince Albert;Prince Albert;;Prince Albert;;;;;;;;;x;;;;
PROV33;Asquith;Asquith;Asquith;;Asquith;;;;;;;;;x;;;;
PROV34;Saskatoon;Saskatoon;Saskatoon;;Saskatoon;;;;;;;;;x;;;;
PROV35;Maple Creek;Maple Creek;Maple Creek;;Maple Creek;;;;;;;;;x;;;;
PROV36;Winnipeg;Winnipeg;Winnipeg;;Winnipeg;;;;;;;;;x;;;;
PROV37;Churchill;Churchill;Churchill;;Churchill;;;;;;;;;x;;;;
PROV38;Indian Lakes;Indian Lakes;Indian Lakes;;Indian Lakes;;;;;;;;;x;;;;
PROV39;Norway House;Norway House;Norway House;;Norway House;;;;;;;;;x;;;;
PROV40;Dauphin;Dauphin;Dauphin;;Dauphin;;;;;;;;;x;;;;
